scenario,confluence,name,id,parametertype,dimensions,valueencoding,codeset,unitofmeasure,fillvalue,displayname,precision,visible,parameterfunctionid,parameterfunctionmap,qcfunctions,standardname,dataproductidentifier,description,longname,dataproducttype,datalevel
DOC:Definition,,"System internal name of the parameter.  

Parameter are allowed to have the same name, as long as the attributes are different.  The HID and ID columns determine uniqueness.","Parameter Definition Identifier

This is the ""global"" identifier for the parameter.  It should be UNIQUE and STATIC among all parameters as it will be used to identify this parameter within other spreadsheets / contexts.  There is outstanding debate as to if this ID should be a simple incrementing ID (as below) or a computable SHA style identifier.",Member of the code set ParameterType,,"The encoding of the value.  Typically an intrinsic type.  'opaque' indicates an undefined value encoding and is stored as raw bits (blob)

If the Parameter Type is 'category', the value encoding should match the encoding of the KEY","If the Parameter Type is ""category"", this column holds the definition of the key:value map of meanings

""Code Set"" is the general term for an Enumeration

Remember to have the fill value as a category",From UDUNITS vocabulary,"A value used to represent missing or undefined data. Please ensure that the fill_value is NOT a valid value for the parameter. For example, 0 is typically a very poor fill_value since it is usually valid (i.e. for temp, lat, lon, pressure, salinity, etc).",The Expected display name for R2.1 and beyond. Will be a required field in R2.1 and beyond. May not be Used in 2.0,"This column should contain the decimal precision that the UI Charts/Tables will utilize to display the appropriate values.

If a precision is not known, leave it blank (it will still use the default).  If the default is to be used (currently precision of 5 decimal digits), and its approved to use whatever the default value is, set the value to ""default"".  If the value is not a float, the value should be set to 0.",Whether the parameter should be visible to the UI,The ID to the parameter function that the function executes,A key-value mapping using JSON or Python dictionary syntax. The key represents the function's argument and the value is the parameter name to be used as input. Values that are named CC_xxx represent calibration coefficients and are dynamically created at preload when they are found. Any parameter named CC_xxx will be dynamically created as a quanity type float32 with no metadata.,,The CF Standard Name for this parameter: http://cf-pcmdi.llnl.gov/documents/cf-standard-names/standard-name-table/20/cf-standard-name-table.html,OOI Data Product Identifier as defined in SAF. This column is required to apply QC and calibrations to data products.,A human-readable description of the parameter.,"CF Long Name. A long descriptive name, which may be used, for example, for labeling plots.",,
DOC:WARNING,,r2deploy loads the BASE scenario from CSV files located in ion-definitions/res/preload/r2_ioc and NOT from this document or the one in TESTED_DOC. Please export changes to CSV files to change system bootstrap!,,,,,,,,,,,,,,,,,,,
DOC:Namespace,,ION::Name,,ION::ParameterType,,ION::Value Encoding,ION::Code Set,ION::Unit of Measure,ION:Fill Value,ION::Display Name (May be removed),,,,,,CF::Standard Name,OOI::Data Product Identifier,ION::Description,CF::Long Name,,
DOC:Vocabulary,,,,,,,,,,,,,,,,http://cf-pcmdi.llnl.gov/documents/cf-standard-names/standard-name-table/20/cf-standard-name-table.html,,,,,
DOC: Required,no,yes,yes,yes,,yes,yes if ParameterType == category,yes,yes,yes,,,not yet,not yet,,no,no,no,no,,
DOC:CI_Attribute_Name,,Parameter.name,[X],Parameter.parameter_type,,Parameter.value_encoding,[into code_report],Parameter.units,Parameter.fill_value,Parameter.display_name,Parameter.precision,,[X],[X],[X],Parameter.standard_name,Parameter.ooi_short_name,Parameter.description,[X],,
BASE,,conductivity,PD1,quantity,,float32,,S m-1,-9999999,Seawater Conductivity,6,,,,CONDWAT,sea_water_electrical_conductivity,CONDWAT_L1,"Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater, such as salt, increases the electrical conducting ability of seawater. As such, conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater. Units: S m-1",Seawater Electrical Conductivity,Science Data,L1
BASE,,pressure,PD2,quantity,,float32,,dbar,-9999999,Seawater Pressure,3,,,,PRESWAT,sea_water_pressure,PRESWAT_L1,Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. Units: dbar,Seawater Pressure,Science Data,L1
BASE,,salinity,PD3,quantity,,float32,,1,-9999999,Practical Salinity,3,,,,PRACSAL,sea_water_practical_salinity,PRACSAL_L2,Salinity is generally defined as the concentration of dissolved salt in a parcel of seawater. Practical Salinity is a more specific unitless quantity calculated from the conductivity of seawater and adjusted for temperature and pressure. It is approximately equivalent to Absolute Salinity (the mass fraction of dissolved salt in seawater) but they are not interchangeable. Units: unitless,Seawater Practical Salinity,Science Data,L2
BASE,,temperature,PD4,quantity,,float32,,ºC,-9999999,Seawater Temperature,4,,,,TEMPWAT,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,Seawater Temperature,Science Data,L1
BASE,,density,PD5,function,,float32,,kg m-3,-9999999,Seawater Density,3,,PFID27,"{""SP"":""dpi_PRACSAL_L2"",""t"":""dpi_TEMPWAT_L1"",""p"":""dpi_PRESWAT_L1"",""lat"":""CC_lat"",""lon"":""CC_lon""}",DENSITY,sea_water_density,DENSITY_L2,"Seawater Density is defined as mass per unit volume and is calculated from the conductivity, temperature and depth of a seawater sample using the TEOS-10 equation. Units: kg m-3.",Seawater Density,Science Data,L2
BASE,,temp,PD6,quantity,,float32,,ºC,-9999999,Seawater Temperature,4,,,,TEMPWAT,sea_water_temperature,TEMPWAT_L1,Seawater temperature near the sensor. Units: degrees Celsius,Seawater Temperature,Science Data,L1
BASE,,time,PD7,quantity,,float64,,seconds since 1900-01-01,-9999999,"Time, UTC",,,,,,time,,"Time, UTC",,,
BASE,,lat,PD8,quantity,,float32,,degree_north,-9999999,Latitude,,FALSE,,,,latitude,,,,,
BASE,,lon,PD9,quantity,,float32,,degree_east,-9999999,Longitude,,FALSE,,,,longitude,,,,,
BASE,,port_timestamp,PD10,quantity,,float64,,seconds since 1900-01-01,-9999999,"Port Timestamp, UTC",,FALSE,,,,,,"Port timestamp, UTC",,,
BASE,,driver_timestamp,PD11,quantity,,float64,,seconds since 1900-01-01,-9999999,"Driver Timestamp, UTC",,FALSE,,,,,,"Driver timestamp, UTC",,,
BASE,,internal_timestamp,PD12,quantity,,float64,,seconds since 1900-01-01,-9999999,"Internal Timestamp, UTC",,FALSE,,,,,,"Internal timestamp, UTC",,,
BASE,,practical_salinity,PD13,function,,float32,,1,-9999999,Practical Salinity,4,,PFID26,"{""c"":""dpi_CONDWAT_L1"",""t"":""dpi_TEMPWAT_L1"",""p"":""dpi_PRESWAT_L1""}",PRACSAL,sea_water_practical_salinity,PRACSAL_L2,Salinity is generally defined as the concentration of dissolved salt in a parcel of seawater. Practical Salinity is a more specific unitless quantity calculated from the conductivity of seawater and adjusted for temperature and pressure. It is approximately equivalent to Absolute Salinity (the mass fraction of dissolved salt in seawater) but they are not interchangeable. Units: unitless,Seawater Practical Salinity,Science Data,L2
,DOSTA,dissolved_oxygen,PD14,function,,float32,,µmol kg-1,-9999999,DO - Pressure Temp Sal Corrected,4,,PFID61,"{""DO"":""dpi_DOCONCS_L1"", ""P"":[""dpi_PRESWAT_L1"",""PD17""],""T"":[""dpi_TEMPWAT_L1"",""dpi_TEMPSRF_L1""],""SP"":[""dpi_PRACSAL_L2"",""dpi_SALSURF_L2""],""lat"":""CC_lat"",""lon"":""CC_lon""}",DOCONCS,moles_of_oxygen_per_unit_mass_in_sea_water,DOXYGEN_L2,"Dissolved Oxygen Concentration from the Stable Response Dissolved Oxygen Instrument is a measure of the concentration of gaseous oxygen mixed in seawater. This data product is corrected for salinity, temperature, and depth.",Dissolved Oxygen Concentration from Stable DO Instrument,Science Data,L2
"BASE,PARAD_A",PARAD,checksum,PD15,quantity,,int32,,1,-9999999,Checksum,0,,,,,,,Checksum,,,
BASE,,preferred_timestamp,PD16,quantity,,string,,1,empty,Preferred Timestamp,,FALSE,,,,,,Timestamp preferred as official record.,,,
BASE,,ct_depth,PD17,function,,float32,,1,-9999999,CT Depth,,FALSE,PFID16,"{""x"":""CC_depth_of_conductivity_and_temperature_measurements_m""}",,,,Depth of conductivity and temperature instrument.,,,
NUTNR,,salinity_corrected_nitrate,PD18,function,,float32,,µmol L-1,-9999999,Nitrate Concentration - Temp and Sal Corrected,,,PFID109,"{""cal_temp"":""CC_cal_temp"",""wl"":""CC_wl"",""eno3"":""CC_eno3"",""eswa"":""CC_eswa"",""di"":""CC_di"",""dark_value"":[""PD330"",""PD2325""],""ctd_t"":[""dpi_TEMPWAT_L1"",""dpi_TEMPSRF_L1""],""ctd_sp"":[""dpi_PRACSAL_L2"",""dpi_SALSURF_L2""],""data_in"":""PD332"",""frame_type"":""PD311"",""wllower"":""CC_lower_wavelength_limit_for_spectra_fit"",""wlupper"":""CC_upper_wavelength_limit_for_spectra_fit""}",NITRTSC,,NITRTSC_L2,Temperature and salinity corrected dissolved nitrate concentration. Units: µmol L-1.,,Science Data,L2
OPTAA,,beam_attenuation,PD19,function,"[""wavelength""]",float32,,m-1,-9999999,Optical Beam Attenuation Coefficient,6,,PFID51,"{""cref"":""PD595"",""csig"":""PD597"",""traw"":""PD590"",""cwl"":""CC_cwlngth"",""coff"":""CC_ccwo"",""tcal"":""CC_tcal"",""tbins"":""CC_tbins"",""tc_arr"":""CC_tcarray"",""T"":[""dpi_TEMPWAT_L1"",""dpi_TEMPSRF_L1""],""PS"":[""dpi_PRACSAL_L2"",""dpi_SALSURF_L2""]}",OPTATTN,,OPTATTN_L2,The Optical Beam Attenuation Coefficient is the rate that the intensity of a beam of light will decrease in response to the combined effects of absorption and scatter as a function of propagation distance. The Attenuation Coefficient results from the spectral beam attenuation of the combination of all seawater impurities including all particulate and dissolved matter of optical importance. Units: m-1,Optical Beam Attenuation Coefficient,Science Data,L2
